ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id
urfalım lahmacun pide salonu,restaurant,turkish,,,,,,,,39.8838753,32.8169092,"https://www.google.com/maps/search/?api=1&query=39.8838753,32.8169092",node/11999100065
Urumchi Uyghur Restaurant,restaurant,uygur,+90 312 433 52 04,https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDIyOTMxMTIwMzk2NDU4?story_media_id=3469339711221522735&igsh=MTY0aXNxeWU0ams2eQ==,,Mo-St 11:30-21:30,,,Ziya Gökalp Caddesi 76,39.9254574,32.8646989,"https://www.google.com/maps/search/?api=1&query=39.9254574,32.8646989",node/4417189818
Uygur Mutfaği,restaurant,,,,,,,,,39.9149695,32.8593714,"https://www.google.com/maps/search/?api=1&query=39.9149695,32.8593714",node/9235395883
Uzay Cafe & Piknik,restaurant,local;turkish,+90 312 222 21 66,,,Mo-Sa 09:00-21:00,,,Kazakistan Caddesi 41 D-C,39.9289385,32.8224071,"https://www.google.com/maps/search/?api=1&query=39.9289385,32.8224071",node/8930666717
Varol Simit Sarayı,restaurant,,,,,,,,,39.8775615,32.8370276,"https://www.google.com/maps/search/?api=1&query=39.8775615,32.8370276",node/11206702667
Varuna Gezgin,cafe,,,,,,,wlan,Azerbaycan (3.) Cd. 106,39.9216323,32.8288633,"https://www.google.com/maps/search/?api=1&query=39.9216323,32.8288633",node/4773873121
Vedat Dalokay Kokteyl ve Nikah Salonu,bar,,,,,,,,,39.9263663,32.8614297,"https://www.google.com/maps/search/?api=1&query=39.9263663,32.8614297",node/6821671202
Veganarsist Kızılay,cafe,turkish,,https://veganarsist.com/,,Mo-Th 11:30-21:30; Fr-Sa 13:00-20:00,yes,,,39.9219150,32.8603850,"https://www.google.com/maps/search/?api=1&query=39.9219150,32.8603850",node/12089037405
VegAnka,restaurant,,,,,,,,,39.9107677,32.8584096,"https://www.google.com/maps/search/?api=1&query=39.9107677,32.8584096",node/6821713284
Vegisso,restaurant,,+90 544 363 21 12,,,Tu-Su 10:00-22:00,,wlan,Akyüz Sokak 27/4,39.9138253,32.8633096,"https://www.google.com/maps/search/?api=1&query=39.9138253,32.8633096",node/5481153421
Vengo Kafe,cafe,,,,,,,,,39.9191019,32.8585336,"https://www.google.com/maps/search/?api=1&query=39.9191019,32.8585336",node/8153025266
Vinni the Vegan Witch,cafe,cake;breakfast;pastry,+90 531 305 75 72,https://www.instagram.com/vinni.theveganwitch?igsh=MTBocG5iMHdwMTBidw==,,,yes,wlan,Gerede Sokak 3/A,39.9014278,32.8550373,"https://www.google.com/maps/search/?api=1&query=39.9014278,32.8550373",node/12745105000
Vitamin,fast_food,,,,,,,,,39.9060430,32.8606989,"https://www.google.com/maps/search/?api=1&query=39.9060430,32.8606989",node/247208699
Vişi Kafe,cafe,,,,,,,,,39.9193894,32.8273483,"https://www.google.com/maps/search/?api=1&query=39.9193894,32.8273483",node/13121378505
Volkan Piknik,fast_food,ayvalık_tostu;sandwich,+90 312 230 03 04,,,,,,Gazi Mustafa Kemal Bulvarı 20,39.9230219,32.8502695,"https://www.google.com/maps/search/?api=1&query=39.9230219,32.8502695",node/8393962905
Waffle's Land,cafe,,+90 539 214 26 26,,,Mo-Sa 08:30-23:30,,,,39.8711000,32.8258089,"https://www.google.com/maps/search/?api=1&query=39.8711000,32.8258089",node/11203819491
Wrapper Sandwich,fast_food,,,,,,,,,39.8722246,32.8601396,"https://www.google.com/maps/search/?api=1&query=39.8722246,32.8601396",node/4627366920
Wuyang,restaurant,chinese,,,,,,,,39.9063559,32.8600001,"https://www.google.com/maps/search/?api=1&query=39.9063559,32.8600001",node/4617561929
Yaprak Dönercisi Bahçelievler,fast_food,,,,,,,,,39.9208029,32.8264500,"https://www.google.com/maps/search/?api=1&query=39.9208029,32.8264500",node/12556396875
Yağmur Pide Kebap Döner Lahmacun,restaurant,,+90 312 222 4200;+90 312 222 4244,,,,,,Kazakistan Caddesi,39.9247092,32.8225038,"https://www.google.com/maps/search/?api=1&query=39.9247092,32.8225038",node/13803049501
YE-AN,restaurant,,,,,,,,,39.9005065,32.8174340,"https://www.google.com/maps/search/?api=1&query=39.9005065,32.8174340",node/854423333
Yelken Balık,restaurant,turkish,,https://yelkenbalik.com.tr/,,,,,,39.8976065,32.8694371,"https://www.google.com/maps/search/?api=1&query=39.8976065,32.8694371",node/12435281567
Yelken Balık Evi,restaurant,,,,,,no,,,39.8840313,32.8543990,"https://www.google.com/maps/search/?api=1&query=39.8840313,32.8543990",node/122563761
Yeni Kebap 9,fast_food,kebab,,,,,,,,39.9347255,32.8949743,"https://www.google.com/maps/search/?api=1&query=39.9347255,32.8949743",node/6222365211
Yöresel Türk Mutfağı,restaurant,,+90 312 287 68 98,yoreselturkmitfagi.com,,Mo-Su 08:00-20:00,,,1458. sokak 11/A,39.8967695,32.8055783,"https://www.google.com/maps/search/?api=1&query=39.8967695,32.8055783",node/9669708540
Yıldırım Aspava,restaurant,regional,,,,,,,,39.9066275,32.8664637,"https://www.google.com/maps/search/?api=1&query=39.9066275,32.8664637",node/2611601210
Yıldız 95,restaurant,pide;kebab;sulu_yemek,,,,,,,,39.8922655,32.8270732,"https://www.google.com/maps/search/?api=1&query=39.8922655,32.8270732",node/4406517026
Yıldız Aspava,restaurant,regional,+90 312 437 66 87,,,,,,,39.9064547,32.8666234,"https://www.google.com/maps/search/?api=1&query=39.9064547,32.8666234",node/75324389
Z Burger,fast_food,,,,,,,,Veli Necdet Arığ Caddesi,39.9224359,32.8188975,"https://www.google.com/maps/search/?api=1&query=39.9224359,32.8188975",node/13990174701
Zafer Piknik,restaurant,,,,,,,,,39.9226564,32.8557216,"https://www.google.com/maps/search/?api=1&query=39.9226564,32.8557216",node/13020194062
Zenith,bar,,,,,,,,,39.8958205,32.7977588,"https://www.google.com/maps/search/?api=1&query=39.8958205,32.7977588",node/9805666717
Zest Coffee,cafe,donut,,,https://www.instagram.com/zestcoffeeandmore/,08:00-22:00,yes,yes,Atatürk Bulvarı 160,39.8971738,32.8613878,"https://www.google.com/maps/search/?api=1&query=39.8971738,32.8613878",node/12592645385
Zeynel Çilli,restaurant,turkish;dessert;ice_cream,,,,,,,,39.8922406,32.7878716,"https://www.google.com/maps/search/?api=1&query=39.8922406,32.7878716",node/4622983577
Zigana Pide,restaurant,turkish,+90 312 212 61 06,,,,,,Bişkek Caddesi 34,39.9234709,32.8174718,"https://www.google.com/maps/search/?api=1&query=39.9234709,32.8174718",node/6762386988
Zodiac,pub,,,,,,,,,39.9114520,32.8566809,"https://www.google.com/maps/search/?api=1&query=39.9114520,32.8566809",node/4063764364
Â La Lune Patisserie,cafe,coffee_shop;dessert;breakfast;cake;tea,,,,,,,,39.9245125,32.8251973,"https://www.google.com/maps/search/?api=1&query=39.9245125,32.8251973",node/13620395394
Çakraz Balık ve Karadeniz Mutfağı,restaurant,fish;fish_and_chips;turkish,,,,06:00-23:00,yes,,,39.9001826,32.8175521,"https://www.google.com/maps/search/?api=1&query=39.9001826,32.8175521",node/11149483601
Çankaya Lokantası,restaurant,turkish,,,,,no,,Hoşdere Caddesi,39.8849196,32.8546660,"https://www.google.com/maps/search/?api=1&query=39.8849196,32.8546660",node/12851080208
Çatı,restaurant,,,,,,,,,39.8894217,32.7914685,"https://www.google.com/maps/search/?api=1&query=39.8894217,32.7914685",node/501705632
ÇaySimit,cafe,,,,,,,,,39.9194876,32.8557091,"https://www.google.com/maps/search/?api=1&query=39.9194876,32.8557091",node/6420538088
Çedene Lokantası,restaurant,,,,,,,,,39.9095457,32.8177821,"https://www.google.com/maps/search/?api=1&query=39.9095457,32.8177821",node/11366992184
Çengel,bar,,,,,,,,,39.8676123,32.8577135,"https://www.google.com/maps/search/?api=1&query=39.8676123,32.8577135",node/6308884643
Çeyrek,restaurant,kebab;turkish,+90 312 335 0102,,,Mo-Su 11:00-22:00,,,Şehit Mehmet Aras Sokak,39.9197417,32.8302081,"https://www.google.com/maps/search/?api=1&query=39.9197417,32.8302081",node/13752993801
Çin Seddi Restaurant,restaurant,chinese,,,,,,,,39.8864256,32.8476566,"https://www.google.com/maps/search/?api=1&query=39.8864256,32.8476566",node/310402868
Çiçek Lokantası,restaurant,,+90 312 284 08 88,https://ciceklokantasi.com.tr/,,,,,2176. Cadde,39.9100052,32.7984817,"https://www.google.com/maps/search/?api=1&query=39.9100052,32.7984817",node/8972429118
Çiğköftesim,restaurant,turkish,+90 552 678 9090,https://www.cigkoftesim.com,,Mo-Su 11:00-24:00,yes,yes,Başçavuş Sokağı 111C,39.9066832,32.8695892,"https://www.google.com/maps/search/?api=1&query=39.9066832,32.8695892",node/14093582340
Çorbacı Hasan Usta,restaurant,turkish,,,,,yes,,Hoşdere Caddesi,39.8852694,32.8545145,"https://www.google.com/maps/search/?api=1&query=39.8852694,32.8545145",node/60581240
Çukurağa Sofrası,restaurant,,+90 312 223 09 63,http://cukuraga.com.tr/,,Mo-Su 09:00-01:00,,,Bosna Hersek Caddesi 22,39.9166218,32.8187585,"https://www.google.com/maps/search/?api=1&query=39.9166218,32.8187585",node/9689419637
Çınar Saklıbahçe,cafe,,,,,,,,,39.9319166,32.8663838,"https://www.google.com/maps/search/?api=1&query=39.9319166,32.8663838",node/8150906684
Çıtır Simit,cafe,,,,,,,,,39.8769303,32.8820665,"https://www.google.com/maps/search/?api=1&query=39.8769303,32.8820665",node/4930524422
Ömer Aybak Adıyaman Çiğ Köftecisi,restaurant,,,,,,,,,39.9182418,32.8627836,"https://www.google.com/maps/search/?api=1&query=39.9182418,32.8627836",node/9315159152
Ömer Aybak Adıyaman Çiğköftecisi,fast_food,turkish,,,,,,,Misket Sokak,39.9301821,32.8162402,"https://www.google.com/maps/search/?api=1&query=39.9301821,32.8162402",node/13983078801
Öncü Döner,fast_food,,,,,,,,,39.9221730,32.8568327,"https://www.google.com/maps/search/?api=1&query=39.9221730,32.8568327",node/6363469227
Öveçler Dürümcüsü,restaurant,kebab;turkish,+90 312 472 00 50,,,"Mo-Th 11:30-22:30; Fr,Su 14:00-22:30; Sa 12:00-22:30",yes,no,,39.8904885,32.8232482,"https://www.google.com/maps/search/?api=1&query=39.8904885,32.8232482",node/9917681890
Öz Emmioğlu Pide Kebap,restaurant,turkish,,,,,,,,39.8969786,32.8801143,"https://www.google.com/maps/search/?api=1&query=39.8969786,32.8801143",node/813193188
Özlem Döner,restaurant,,,,,,,,,39.8711047,32.8590035,"https://www.google.com/maps/search/?api=1&query=39.8711047,32.8590035",node/148943638
Özlem Pide Restoran,restaurant,turkish,,,,,,,,39.9231635,32.8057219,"https://www.google.com/maps/search/?api=1&query=39.9231635,32.8057219",node/8338590165
Özler Döner,restaurant,,,,,,,,,39.9285586,32.8534581,"https://www.google.com/maps/search/?api=1&query=39.9285586,32.8534581",node/4071220581
Özsüt,cafe,,,,,,,,,39.8960625,32.8126884,"https://www.google.com/maps/search/?api=1&query=39.8960625,32.8126884",node/4652850612
Özçelik Aspava,restaurant,regional,,,,,,,,39.9065462,32.8665375,"https://www.google.com/maps/search/?api=1&query=39.9065462,32.8665375",node/2611600068
Ünlü Dalyan Balıkçısı,restaurant,,,,,,,,,39.8966086,32.8803311,"https://www.google.com/maps/search/?api=1&query=39.8966086,32.8803311",node/957022081
Ünlü İstanbul Balııkçısı,restaurant,,,,,,,,,39.8838848,32.8180047,"https://www.google.com/maps/search/?api=1&query=39.8838848,32.8180047",node/13045263991
Üst Kat,pub,,,,,,,,,39.9026416,32.8601545,"https://www.google.com/maps/search/?api=1&query=39.9026416,32.8601545",node/2188485645
Şehrize Mantı,restaurant,dumplings;turkish,+90 312 230 46 06,,,Mo-Su 08:30-03:00,,,Gazi Mustafa Kemal Bulvarı 55/B,39.9270670,32.8468371,"https://www.google.com/maps/search/?api=1&query=39.9270670,32.8468371",node/6873843409
Şilingir,pub,,,,,,,,,39.9012842,32.8575706,"https://www.google.com/maps/search/?api=1&query=39.9012842,32.8575706",node/13415264301
Şimşek Aspava Bahçelievler,restaurant,,,,,Mo-Su 11:30-22:30,,,Azerbaycan Caddesi 19/A,39.9300816,32.8260448,"https://www.google.com/maps/search/?api=1&query=39.9300816,32.8260448",node/12036191869
Şipila,restaurant,,,,,,,,,39.8696024,32.8679339,"https://www.google.com/maps/search/?api=1&query=39.8696024,32.8679339",node/902362302
Şölen Kebap,restaurant,,,,,,,,,39.8730151,32.8600484,"https://www.google.com/maps/search/?api=1&query=39.8730151,32.8600484",node/4627366904
مطعم سلطان بغداد,restaurant,,,,,,,,,39.8728661,32.8599805,"https://www.google.com/maps/search/?api=1&query=39.8728661,32.8599805",node/8996339717
